Feature,Coefficient
VND/USD,-18391.032884379536
VNIndex,24750.78790642973
Oil_Price,34616.21100371634
DXY,51935.77512128046
TNX,-10160.608594735386
GPR,4588.107173690842
bitcoin,29152.548121929925
Spread_lag1,5629037.015837175
