Dataset,RMSE,MAE,MAPE (%),R2
Validation,1472180.4093741341,1306733.3059374087,9.994838411631017,0.6780558412231057
Test,4098987.287337832,2734636.8457657206,21.689295674256794,0.6822768794713929
